mechanism,epsilon,delta,runs,bandwidth_mean,bandwidth_sd,bandwidth_q05,bandwidth_q10,bandwidth_q90,bandwidth_q95,mmd_hat_mean,mmd_hat_sd,mmd_hat_q05,mmd_hat_q10,mmd_hat_q90,mmd_hat_q95,eps_star_mean,eps_star_sd,eps_star_q05,eps_star_q10,eps_star_q90,eps_star_q95,tau_mmd_at_claim_mean,tau_mmd_at_claim_sd,tau_mmd_at_claim_q05,tau_mmd_at_claim_q10,tau_mmd_at_claim_q90,tau_mmd_at_claim_q95,margin_at_claim_mean,margin_at_claim_sd,margin_at_claim_q05,margin_at_claim_q10,margin_at_claim_q90,margin_at_claim_q95,positive_margin_rate,claimed_eps_above_eps_star_rate
NonDPLaplace1,0.01,0.0,400,170.95841759994084,30.45594090562898,124.88264227181125,133.55006327297204,210.71978612324907,220.4623933210227,0.23108633483155092,0.011864310871785865,0.210711069002796,0.21678424567315543,0.24577051916618575,0.2493095371310615,0.3297855654051507,0.017229504640675106,0.3002253840667046,0.3090149570926845,0.3511358829139171,0.35629900178864427,0.007071008886889401,8.684479772844124e-19,0.0070710088868894,0.0070710088868894,0.0070710088868894,0.0070710088868894,0.22401532594466145,0.011864310871785862,0.2036400601159065,0.20971323678626602,0.23869951027929626,0.242238528244172,1.0,0.0
NonDPLaplace1,0.0441379310344827,0.0,400,38.56271963365515,6.745472893902729,27.977836440421566,30.308200129943554,46.91360612065906,49.382885885699224,0.231078829437784,0.01165478273492692,0.21178357397378617,0.21548318870911773,0.24439985524035737,0.24949882505105725,0.329773897669684,0.01692938445016388,0.3017767504353124,0.30713098130997407,0.3491374523078071,0.35657528765831775,0.031205164459993204,3.47379190913765e-18,0.0312051644599932,0.0312051644599932,0.0312051644599932,0.0312051644599932,0.19987366497779072,0.011654782734926917,0.18057840951379286,0.18427802424912443,0.21319469078036407,0.21829366059106398,1.0,0.0
NonDPLaplace1,0.0782758620689655,0.0,400,21.622908416292812,3.9569292890187975,16.028136030541727,16.768464227816224,27.063700797934686,28.409483987441497,0.2317194767508658,0.012608318930189131,0.20777018078665935,0.21519642195288977,0.24648986275670737,0.2497455215968894,0.3307086179550575,0.018304742034186715,0.29597325603710795,0.3067158057925489,0.3521849649267586,0.35693538776154243,0.0553211491897113,0.0,0.0553211491897113,0.0553211491897113,0.0553211491897113,0.0553211491897113,0.17639832756115442,0.012608318930189131,0.15244903159694803,0.15987527276317837,0.19116871356699597,0.1944243724071781,1.0,0.0
NonDPLaplace1,0.1124137931034482,0.0,400,15.008935536903397,2.595253673805854,11.185506923441794,11.869184791041178,18.217388444089742,19.178319603371445,0.23185181669979996,0.011756515797115097,0.21172682233556378,0.21675381307203442,0.24583532543459274,0.2499292014196578,0.3308975433342141,0.017074564840271374,0.3016946507415424,0.3089708833496396,0.35123038802592993,0.35720351903895714,0.07940495389547468,1.38951676365506e-17,0.0794049538954747,0.0794049538954747,0.0794049538954747,0.0794049538954747,0.1524468628043253,0.011756515797115093,0.13232186844008906,0.13734885917655973,0.16643037153911797,0.1705242475241831,1.0,0.0
NonDPLaplace1,0.146551724137931,0.0,400,11.461654892906354,1.949557242999734,8.49968810497702,8.989909783147782,13.968395871943311,14.829086652503507,0.23313459410974324,0.012089247595833139,0.21240650062543492,0.21757577494695,0.24904013702847502,0.2514004126384279,0.3327636365986419,0.017566749235075365,0.30267797238851996,0.3101613853291866,0.35590580502643493,0.3593516110240254,0.1034426441825935,0.0,0.1034426441825935,0.1034426441825935,0.1034426441825935,0.1034426441825935,0.1296919499271497,0.01208924759583314,0.10896385644284133,0.1141331307643564,0.14559749284588142,0.14795776845583425,1.0,0.0
NonDPLaplace1,0.1806896551724138,0.0,400,9.392113728644201,1.6161485366381814,6.834783433808865,7.469720587868899,11.519763810913059,12.249122970426122,0.23201378349169732,0.011537061505263402,0.2119963743615463,0.21720503175983882,0.24651585309415858,0.24902031952349107,0.3311320874453699,0.016757059486966156,0.30208460665417913,0.30962438710887163,0.35222287240585914,0.3558768830092438,0.1274203925644144,0.0,0.1274203925644144,0.1274203925644144,0.1274203925644144,0.1274203925644144,0.10459339092728293,0.0115370615052634,0.08457598179713192,0.08978463919542441,0.11909546052974417,0.12159992695907668,1.0,0.0
NonDPLaplace1,0.2148275862068965,0.0,400,7.955847990351332,1.4593475749267004,5.701149243349385,6.091123737636379,9.862769996296352,10.379922989675723,0.2325344618759117,0.01248207020195749,0.21155655815342422,0.21642529363824356,0.24813535837125072,0.2527830767610384,0.3318929413560484,0.01813863636182896,0.3014483445449561,0.30849512746150876,0.3545854588417243,0.3613711654103194,0.15132451005903616,2.77903352731012e-17,0.1513245100590362,0.1513245100590362,0.1513245100590362,0.1513245100590362,0.08120995181687542,0.012482070201957492,0.060232048094388015,0.06510078357920727,0.09681084831221443,0.10145856670200212,1.0,0.0
NonDPLaplace1,0.2489655172413793,0.0,400,6.809901737789444,1.152746089423567,4.86642237145382,5.3965489122554375,8.241844252029463,8.86236473858497,0.2341126964860828,0.011674192649089072,0.21473710290616366,0.21879430995187168,0.24768319190750906,0.2510439827025702,0.33418409482069406,0.016967169907171047,0.3060508665509906,0.3119266732005349,0.3539257256247032,0.3588311181093037,0.17514147710834344,2.77903352731012e-17,0.1751414771083434,0.1751414771083434,0.1751414771083434,0.1751414771083434,0.058971219377739324,0.011674192649089076,0.03959562579782027,0.04365283284352821,0.07254171479916556,0.07590250559422686,1.0,0.0
NonDPLaplace1,0.2831034482758621,0.0,400,6.000566849615068,1.0916977371861518,4.3476165083542,4.605182026153992,7.434969418955482,7.895537689722568,0.23444320771959914,0.012798063664409389,0.21138373055986465,0.21727336642987316,0.24977222214080677,0.25393865448466796,0.33466939614986835,0.018596760428210315,0.3011983419890153,0.30972337008845446,0.3569743637248018,0.3630595914969771,0.19885797367278316,5.55806705462024e-17,0.1988579736727832,0.1988579736727832,0.1988579736727832,0.1988579736727832,0.035585234046815885,0.012798063664409385,0.012525756887081437,0.018415392757089873,0.05091424846802356,0.0550806808118847,0.9875,0.0125
NonDPLaplace1,0.3172413793103448,0.0,400,5.315012590180211,0.970066090505567,3.8311186777159976,4.136738512675117,6.542544627552259,6.914616770881646,0.23556358977773914,0.012061078781810241,0.21560363526941695,0.2215148738397735,0.24947978531168122,0.25394603702339114,0.3362959109885228,0.017535433583819704,0.30730537092504434,0.3158696868649088,0.356547498597778,0.3630703794997562,0.22246090836216595,5.55806705462024e-17,0.222460908362166,0.222460908362166,0.222460908362166,0.222460908362166,0.013102681415573136,0.01206107878181022,-0.006857273092748958,-0.0009460345223924097,0.027018876949515137,0.031485128661225055,0.885,0.115
